"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"microbenchmark.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,183167","0,003649","ops/s",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"726,380638","13,473315","MB/sec",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"4482620944,800000","21438,054970","B/op",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"693,695382","12,828941","MB/sec",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4280916377,600000","1043570,431262","B/op",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,784109","0,033090","MB/sec",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"11010048,000000","0,000000","B/op",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"7,187784","0,223594","MB/sec",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"44354764,800000","852071,689082","B/op",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"140,000000",NaN,"counts",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"2739,000000",NaN,"ms",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,334731","0,001885","ops/s",1000,test,2,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"1324,162396","7,218780","MB/sec",1000,test,2,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"4447955486,000000","4435,048290","B/op",1000,test,2,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"1315,927248","6,647424","MB/sec",1000,test,2,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4420298342,400000","6072519,833454","B/op",1000,test,2,foreach_apache
