"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataset","Param: stringManipulation"
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf","thrpt",1,10,"0,005964","0,000033","ops/s",train_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"288,548132","1,644895","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"51645378608,800000","33789,936083","B/op",train_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"285,625846","2,237104","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"51123008307,200000","498981845,257723","B/op",train_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,210906","0,001202","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"37748736,000000","0,000000","B/op",train_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,533061","0,002783","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"95409391,200000","249598,564370","B/op",train_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"402,000000",NaN,"counts",train_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"8773,000000",NaN,"ms",train_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf","thrpt",1,10,"0,009229","0,000044","ops/s",train_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"397,071928","1,957301","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"46379489752,000000","21007,352873","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"392,326338","3,833657","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"45825602355,200000","495716966,645317","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,323181","0,001593","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"37748736,000000","0,000000","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,816874","0,004702","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"95413901,600000","251967,736772","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"360,000000",NaN,"counts",train_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"8049,000000",NaN,"ms",train_id,foreach_apache
