"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df","thrpt",1,10,"0,172118","0,002043","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"44,490627","0,496748","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"290897514,400000","3956,115031","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"656,097687","7,319730","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4289829273,600000","899888,000226","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,683906","0,018807","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"11010048,000000","0,000000","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"2,862568","0,100088","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"18717081,600000","652565,911521","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"70,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"3023,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf","thrpt",1,10,"0,094063","0,000815","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"25,103009","0,196436","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"302142468,000000","438,659839","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"311,956686","2,516100","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"3754740940,800000","1948762,508853","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,829503","0,014317","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"22020096,000000","0,000000","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,078483","0,119383","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"943718,400000","1437491,619867","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,10,"30,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,10,"1034,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df","thrpt",1,10,"0,172512","0,001870","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"44,569557","0,447082","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"290897484,000000","3953,575945","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"657,325840","6,550123","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4290248704,000000","835525,032618","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,686893","0,016928","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"11010048,000000","0,000000","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"2,867627","0,046007","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"18717081,600000","334210,013047","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"70,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"3017,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf","thrpt",1,10,"0,093039","0,000937","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"24,841595","0,233232","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"302142476,000000","452,844379","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"308,724906","2,852444","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"3754950656,000000","1671050,065235","B/op",1000,test,1,foreach_apache
