"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"microbenchmark.ThreadConcurrentRunner.compute_df","thrpt",1,10,"2,819371","0,012145","ops/s",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"2832,799705","11,466423","MB/sec",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"1115215820,468966","42981,773209","B/op",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"2809,123569","32,018464","MB/sec",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1105889717,793103","10453139,852686","B/op",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,826611","0,003343","MB/sec",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"325420,137931","0,000000","B/op",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"47,774763","4,215437","MB/sec",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"18807587,834483","1648139,722890","B/op",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"635,000000",NaN,"counts",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"15520,000000",NaN,"ms",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf","thrpt",1,10,"2,350934","0,018861","ops/s",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"2573,691763","19,968552","MB/sec",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"1214758793,266667","986,917527","B/op",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"2583,631130","19,966836","MB/sec",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1219450197,333333","98467,569403","B/op",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,833101","0,006464","MB/sec",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"393216,000000","0,000000","B/op",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"1,969309","0,109650","MB/sec",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"929465,566667","49881,199326","B/op",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,10,"460,000000",NaN,"counts",1000,devel,6,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,10,"2062,000000",NaN,"ms",1000,devel,6,foreach_apache
