"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df","thrpt",1,10,"0,228864","0,001255","ops/s",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"55,293487","0,241115","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"276885214,933333","105278,019006","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"810,366685","3,773106","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4057954167,466666","1351841,748130","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,465792","0,006630","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"7340032,000000","0,000000","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"4,578840","0,060738","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"22928861,866667","299962,666742","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.count","thrpt",1,10,"100,000000",NaN,"counts",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.time","thrpt",1,10,"11075,000000",NaN,"ms",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf","thrpt",1,10,"0,134430","0,000279","ops/s",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"31,677039","0,061364","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"266565530,800000","3742,463627","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"516,998350","0,999412","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4350594252,800000","1604991,176201","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,308368","0,002539","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"11010048,000000","0,000000","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,052953","0,022729","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"445644,800000","191442,835350","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.count","thrpt",1,10,"70,000000",NaN,"counts",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.time","thrpt",1,10,"4868,000000",NaN,"ms",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,4,foreach_apache
