"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: param","Param: stringManipulation"
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,5,"27,038675","2,147051","ops/s",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"471,695169","37,187423","MB/sec",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"19250023,158740","5736,376946","B/op",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"441,428697","131,813455","MB/sec",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"18004451,625843","4487216,450820","B/op",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,5,"100,000000",NaN,"counts",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,5,"735,000000",NaN,"ms",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,5,"49,697211","16,283498","ops/s",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"669,477098","219,539978","MB/sec",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"14871522,277993","14586,268706","B/op",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"625,311655","263,182937","MB/sec",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"13887622,501752","3287180,633157","B/op",devel_1_000_id,foreach_apache
