Threads;GC;Milliseconds;Throughput1;Throughput2

01;G1GC;11160;0.08960573476702509;5.4/min
01;ZGC;11101;0.09008035167369294;5.4/min
01;Shenandoah;11499;0.08695954641900588;5.2/min

02;G1GC;5743;0.17411289480098896;10.4/min
02;ZGC;5878;0.17010852924165618;10.2/min
02;Shenandoah;5916;0.16902170238658643;10.1/min

04;G1GC;3176;0.3147623544224111;18.9/min
04;ZGC;3394;0.2945855181759265;17.7/min
04;Shenandoah;3288;0.3040807638508788;18.2/min

06;G1GC;2445;0.4088307440719542;24.5/min
06;ZGC;2908;0.3438316600192546;20.6/min
06;Shenandoah;2556;0.3911750899702707;23.5/min

08;G1GC;2217;0.4510599909788001;27.1/min
08;ZGC;2719;0.36770113251948816;22.1/min
08;Shenandoah;2412;0.41445623342175064;24.9/min

12;G1GC;2020;0.4949025042066713;29.7/min
12;ZGC;2813;0.35541654819448393;21.6/min
12;Shenandoah;2355;0.4244482173174873;25.5/min

16;G1GC;2100;0.47609979051609214;28.6/min
16;ZGC;2928;0.3414600833162603;20.5/min
16;Shenandoah;2453;0.40763084950269035;24.5/min

24;G1GC;2330;0.4291108822519739;25.7/min
24;ZGC;3066;0.32611531437516306;19.6/min
24;Shenandoah;2594;0.3854158637169506;23.1/min

32;G1GC;2435;0.41064388961892245;24.6/min
32;ZGC;3203;0.3121098626716604;18.7/min
32;Shenandoah;2676;0.37366415066138553;22.4/min

48;G1GC;2637;0.37910379862006216;22.7/min
48;ZGC;3351;0.29836496001909535;17.9/min
48;Shenandoah;2826;0.35375689825951606;21.2/min

64;G1GC;2710;0.3688947912055482;22.1/min
64;ZGC;3513;0.28465698832906344;17.1/min
64;Shenandoah;2953;0.33856988082340195;20.3/min
