Threads;GC;Milliseconds;Throughput1;Throughput2

01;G1GC;11028;0.09067498458525261;5.4/min
01;ZGC;11122;0.08990865280874631;5.4/min
01;Shenandoah;11468;0.08719155985700584;5.2/min

02;G1GC;5764;0.1734785927416557;10.4/min
02;ZGC;5851;0.17089343085651787;10.3/min
02;Shenandoah;5930;0.16862268986914877;10.1/min

04;G1GC;3174;0.31498047121078493;18.9/min
04;ZGC;3569;0.2801748290933542;16.8/min
04;Shenandoah;3271;0.3056608387333415;18.3/min

06;G1GC;2431;0.4113195129976966;24.7/min
06;ZGC;2896;0.3452800220979214;20.7/min
06;Shenandoah;2587;0.3865182436611008;23.2/min

08;G1GC;2218;0.45073469755701795;27.0/min
08;ZGC;2717;0.3679446611229671;22.1/min
08;Shenandoah;2424;0.41240514681623225;24.7/min

12;G1GC;1989;0.5025630716654941;30.2/min
12;ZGC;2835;0.3526093088857546;21.2/min
12;Shenandoah;2350;0.4254594962559564;25.5/min

16;G1GC;2095;0.47719030349303304;28.6/min
16;ZGC;2929;0.34139014065273793;20.5/min
16;Shenandoah;2438;0.41010498687664043;24.6/min

24;G1GC;2296;0.43535045711798;26.1/min
24;ZGC;3085;0.3241070849808777;19.4/min
24;Shenandoah;2587;0.38648836670016234;23.2/min

32;G1GC;2445;0.4089645018812367;24.5/min
32;ZGC;3199;0.31253906738342296;18.8/min
32;Shenandoah;2646;0.37790038545839316;22.7/min

48;G1GC;2586;0.38660790226552233;23.2/min
48;ZGC;3320;0.3011685339115769;18.1/min
48;Shenandoah;2838;0.3522367030644593;21.1/min

64;G1GC;2668;0.3747002398081535;22.5/min
64;ZGC;3505;0.2852741484566668;17.1/min
64;Shenandoah;2908;0.3437607425232039;20.6/min
