Threads;GC;Milliseconds;Throughput1;Throughput2
01;G1GC;10828;0.09234633569739953;5.5/min
01;ZGC;10947;0.09133754703883673;5.5/min
01;Shenandoah;11349;0.08810883202932263;5.3/min
02;G1GC;5701;0.1754016698238967;10.5/min
02;ZGC;5810;0.17210519069255129;10.3/min
02;Shenandoah;5875;0.17020117779215033;10.2/min
04;G1GC;3155;0.3169371196754564;19.0/min
04;ZGC;3405;0.29366850698931046;17.6/min
04;Shenandoah;3260;0.3066732090284593;18.4/min
06;G1GC;2442;0.40929927963326784;24.6/min
06;ZGC;2892;0.3457097421005324;20.7/min
06;Shenandoah;2594;0.3854752910338447;23.1/min
08;G1GC;2257;0.4430267588162325;26.6/min
08;ZGC;2707;0.3693853427895981;22.2/min
08;Shenandoah;2404;0.4159041756779238;25.0/min
12;G1GC;2025;0.49382716049382713;29.6/min
12;ZGC;2775;0.36030842401095337;21.6/min
12;Shenandoah;2343;0.4267303917384996;25.6/min
16;G1GC;2153;0.46425255338904364;27.9/min
16;ZGC;2862;0.3493083694285315;21.0/min
16;Shenandoah;2401;0.41635440086601716;25.0/min
24;G1GC;2354;0.4248088360237893;25.5/min
24;ZGC;3006;0.33264586521189543;20.0/min
24;Shenandoah;2536;0.3941974140649638;23.7/min
32;G1GC;2372;0.42140750105351876;25.3/min
32;ZGC;3062;0.32647730982696704;19.6/min
32;Shenandoah;2652;0.3770454716838851;22.6/min
48;G1GC;2558;0.3908692933083177;23.5/min
48;ZGC;3234;0.30917635419243134;18.6/min
48;Shenandoah;2791;0.35821750967187277;21.5/min
64;G1GC;2683;0.3726893261776983;22.4/min
64;ZGC;3307;0.3023523009010099;18.1/min
64;Shenandoah;2851;0.3507049168829347;21.0/min
