Threads;GC;Milliseconds;Throughput1;Throughput2
01;G1GC;11352;0.08808710052499912;5.3/min
01;ZGC;11166;0.08955437741796819;5.4/min
01;Shenandoah;11377;0.08788890841975742;5.3/min
02;G1GC;5770;0.17328619948707286;10.4/min
02;ZGC;5861;0.1705960626428742;10.2/min
02;Shenandoah;5941;0.1683048337148243;10.1/min
04;G1GC;3201;0.3123828564288392;18.7/min
04;ZGC;3436;0.29091755396520624;17.5/min
04;Shenandoah;3277;0.30508267740557693;18.3/min
06;G1GC;2444;0.40903141361256545;24.5/min
06;ZGC;2899;0.34487515519381984;20.7/min
06;Shenandoah;2592;0.3856536829926726;23.1/min
08;G1GC;2243;0.44563279857397503;26.7/min
08;ZGC;2728;0.36648830902294216;22.0/min
08;Shenandoah;2429;0.4115903852486006;24.7/min
12;G1GC;2007;0.4982064567556796;29.9/min
12;ZGC;2823;0.35420799093227545;21.3/min
12;Shenandoah;2360;0.423728813559322;25.4/min
16;G1GC;2116;0.47245582538032693;28.3/min
16;ZGC;2930;0.34122705248072066;20.5/min
16;Shenandoah;2448;0.40842999509884004;24.5/min
24;G1GC;2116;0.47245582538032693;28.3/min
24;ZGC;3108;0.32175032175032175;19.3/min
24;Shenandoah;2592;0.3856239395341663;23.1/min
32;G1GC;2447;0.4084967320261438;24.5/min
32;ZGC;3191;0.31336174479819506;18.8/min
32;Shenandoah;2711;0.36881315925352215;22.1/min
48;G1GC;2558;0.39093041438623927;23.5/min
48;ZGC;3337;0.2996344459759094;18.0/min
48;Shenandoah;2837;0.352410487736115;21.1/min
64;G1GC;2678;0.37335722819593786;22.4/min
64;ZGC;3465;0.2885669763952213;17.3/min
64;Shenandoah;2913;0.3431944539776237;20.6/min
