Threads;GC;Milliseconds;Throughput1;Throughput2

01;G1GC;11282;0.08863048179529903;5.3/min
01;ZGC;11194;0.08932559178204555;5.4/min
01;Shenandoah;11484;0.08707312400954322;5.2/min

02;G1GC;5755;0.17373175816539263;10.4/min
02;ZGC;5831;0.17149128824255727;10.3/min
02;Shenandoah;5982;0.16715699384862262;10.0/min

04;G1GC;3179;0.3145247530980688;18.9/min
04;ZGC;3399;0.2941868674982349;17.7/min
04;Shenandoah;3327;0.3004988280545706;18.0/min

06;G1GC;2454;0.4075311761349743;24.5/min
06;ZGC;2871;0.3482864307606576;20.9/min
06;Shenandoah;2649;0.3774154589371981;22.6/min

08;G1GC;2206;0.4531448250860975;27.2/min
08;ZGC;2712;0.36862282512533173;22.1/min
08;Shenandoah;2482;0.40290088638195004;24.2/min

12;G1GC;2012;0.4968203497615262;29.8/min
12;ZGC;2783;0.3592212084201451;21.6/min
12;Shenandoah;2401;0.41635440086601716;25.0/min

16;G1GC;2107;0.47451836386068136;28.5/min
16;ZGC;2902;0.34451870736581;20.7/min
16;Shenandoah;2520;0.39682539682539686;23.8/min

24;G1GC;2271;0.4402183483007572;26.4/min
24;ZGC;3039;0.32896901111915255;19.7/min
24;Shenandoah;2635;0.3794490399939288;22.8/min

32;G1GC;2414;0.41404438555813183;24.8/min
32;ZGC;3157;0.31665611146295125;19.0/min
32;Shenandoah;2732;0.3659250585480094;22.0/min

48;G1GC;2596;0.3851190017715474;23.1/min
48;ZGC;3360;0.2975836209975003;17.9/min
48;Shenandoah;2884;0.3466925530439606;20.8/min

64;G1GC;2681;0.37296732806206173;22.4/min
64;ZGC;3464;0.2886502713312551;17.3/min
64;Shenandoah;2968;0.3368818218568926;20.2/min
