"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,064380","0,000492","ops/s",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"137,569302","0,871266","MB/sec",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"2652531297,600000","174711,183969","B/op",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"2418,608036","12,686980","MB/sec",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"46634788454,400000","337830120,986963","B/op",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"5,461791","0,056963","MB/sec",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"105311078,400000","872270,456886","B/op",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"12,465687","2,395963","MB/sec",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"240442248,800000","47624292,902167","B/op",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"511,000000",NaN,"counts",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"20918,000000",NaN,"ms",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,083925","0,000482","ops/s",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"171,344417","1,066858","MB/sec",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"2652319015,200000","23341,897552","B/op",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"2576,650313","16,354688","MB/sec",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"39885209600,000000","116262940,513031","B/op",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"6,587118","0,039683","MB/sec",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"101965260,800000","304612,941603","B/op",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"14,901464","0,409610","MB/sec",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"230677651,200000","7144703,201328","B/op",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"448,000000",NaN,"counts",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"18872,000000",NaN,"ms",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf","thrpt",1,10,"0,050269","0,000164","ops/s",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"106,467473","0,287967","MB/sec",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"2537847076,000000","29616,884953","B/op",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"2153,597488","15,081571","MB/sec",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"51334820658,400000","282239365,479323","B/op",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"5,843076","0,049355","MB/sec",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"139280025,600000","986757,188706","B/op",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"6,890079","0,020969","MB/sec",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"164237865,600000","497906,927395","B/op",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,10,"457,000000",NaN,"counts",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,10,"3312,000000",NaN,"ms",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf","thrpt",1,10,"0,063207","0,000385","ops/s",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"129,646185","0,731698","MB/sec",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"2537697995,200000","22511,952528","B/op",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"2170,754203","10,802372","MB/sec",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"42490501529,600000","92499677,895814","B/op",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"7,134778","0,068498","MB/sec",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"139655731,200000","861462,051300","B/op",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"8,385641","0,061941","MB/sec",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"164140562,400000","667663,561813","B/op",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,10,"390,000000",NaN,"counts",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,10,"3234,000000",NaN,"ms",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,train,12,foreach_apache
