"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,171307","0,000606","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"46,201963","0,149034","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"303571244,000000","4479,325199","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"652,953554","2,138772","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4290248704,000000","988606,550748","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,675672","0,005411","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"11010048,000000","0,000000","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"2,880593","0,044965","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"18926796,800000","250657,509785","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"70,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"3021,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,332219","0,001081","ops/s",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"83,706619","0,276139","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"283016931,600000","11729,741645","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"1253,780551","4,208111","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4239104409,600000","474487,008086","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,628196","0,005369","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"5505024,000000","0,000000","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"8,482256","0,216399","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"28678553,600000","678783,745302","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"140,000000",NaN,"counts",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"6284,000000",NaN,"ms",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,588099","0,004220","ops/s",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"141,804359","0,900252","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"274037086,666667","29708,532826","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"2269,952451","15,032870","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4386682743,466666","1720451,341873","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,899102","0,012046","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"3670016,000000","0,000000","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"8,586325","0,217496","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"16593715,200000","467902,307131","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"220,000000",NaN,"counts",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"10801,000000",NaN,"ms",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,722723","0,007816","ops/s",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"172,308531","1,772559","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"269384419,000000","186434,875811","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"2802,641861","37,756348","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4381828710,400000","79892209,930004","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,760615","0,018953","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"2752512,000000","0,000000","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"29,986288","15,200456","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"46958075,700000","24361908,851085","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"339,000000",NaN,"counts",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"13939,000000",NaN,"ms",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,793603","0,008894","ops/s",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"187,670208","2,169539","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"268608768,422222","675671,223796","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"3048,449609","62,850448","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4363085414,300000","58362223,157538","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,879952","0,123381","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"2691345,066667","194955,840944","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"41,804046","7,942302","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"59881035,911111","12035934,606434","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"341,000000",NaN,"counts",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"14283,000000",NaN,"ms",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,681397","0,014598","ops/s",1000,test,12,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"161,160236","3,156452","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"268740398,628571","65396,950504","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"2615,766820","36,697174","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4362166037,828570","51692447,204604","B/op",1000,test,12,foreach_apache
