"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df","thrpt",1,10,"0,172053","0,001623","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"40,697092","0,352368","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"266563120,800000","3953,732990","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"658,593201","5,830510","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4313736806,400000","1043570,431262","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,680941","0,014551","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"11010048,000000","0,000000","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"4,030282","0,107463","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"26397900,800000","648541,828473","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.count","thrpt",1,10,"70,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.time","thrpt",1,10,"2798,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df","thrpt",1,10,"0,320567","0,002389","ops/s",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"74,062367","0,480995","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"259161207,800000","46454,681033","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"1214,652782","7,702028","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4250350387,200000","1583093,954151","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,573211","0,010428","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"5505024,000000","0,000000","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"7,488345","0,326189","MB/sec",1000,test,2,foreach_apache
