"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df","thrpt",1,10,"0,170910","0,000746","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"44,185004","0,190260","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"290896626,400000","3951,194018","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"651,616630","2,825554","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4289986560,000000","1136436,909046","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,672343","0,007197","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"11010048,000000","0,000000","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"2,846998","0,057002","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"18743296,000000","336810,908406","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.count","thrpt",1,10,"70,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.time","thrpt",1,10,"3016,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df","thrpt",1,10,"0,327912","0,001583","ops/s",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"79,850861","0,391332","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"273230207,000000","3023,693867","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"1240,293160","6,223713","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4243980286,200000","653900,853175","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,608830","0,007886","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"5505024,000000","0,000000","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"8,454087","0,183276","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"28927590,400000","583747,443561","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.count","thrpt",1,10,"140,000000",NaN,"counts",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.time","thrpt",1,10,"6262,000000",NaN,"ms",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df","thrpt",1,10,"0,580876","0,002820","ops/s",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"136,850131","0,640333","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"267550449,466667","2116,748359","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"2243,381278","10,523752","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4385948740,266665","966387,835923","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,877187","0,008783","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"3670016,000000","0,000000","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"8,554489","0,190499","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"16724787,200000","389911,681888","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.count","thrpt",1,10,"220,000000",NaN,"counts",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.time","thrpt",1,10,"10778,000000",NaN,"ms",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df","thrpt",1,10,"0,723816","0,008802","ops/s",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"169,669271","1,982444","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"264850982,900000","26235,320043","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"2794,432556","72,560758","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4361814015,900000","68301616,247244","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,763319","0,020696","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"2752512,000000","0,000000","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"35,226867","19,415878","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"55096652,400000","30845874,546434","B/op",1000,test,6,foreach_apache
