Benchmark,Mode,Threads,Samples,Score,"Score Error (99,9%)",Unit,Param: buffer_size,Param: dataset,Param: n_threads,Param: stringManipulation
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df,thrpt,1,10,"0,680693","0,00781",ops/s,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.alloc.rate,thrpt,1,10,"2773,216776","32,036213",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.alloc.rate.norm,thrpt,1,10,"4637209081,14286","17037,861486",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space,thrpt,1,10,"2721,741738","41,129739",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm,thrpt,1,10,"4551134412,8","43688299,407538",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen,thrpt,1,10,"1,881258","0,021736",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen.norm,thrpt,1,10,3145728,0,B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space,thrpt,1,10,"101,21946","19,030145",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space.norm,thrpt,1,10,"169362610,514286","33273908,630484",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.count,thrpt,1,10,419,NaN,counts,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.time,thrpt,1,10,19778,NaN,ms,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·stack,thrpt,1,1,NaN,NaN,---,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf,thrpt,1,10,"0,663006","0,005565",ops/s,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.alloc.rate,thrpt,1,10,"2838,822887","20,835505",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm,thrpt,1,10,"4853747977,82857","12638,342799",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space,thrpt,1,10,"2835,636831","20,750331",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm,thrpt,1,10,"4848300851,2","433001,469916",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.churn.G1_Old_Gen,thrpt,1,10,"1,839849","0,013503",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm,thrpt,1,10,3145728,0,B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.churn.G1_Survivor_Space,thrpt,1,10,"4,947323","0,099452",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm,thrpt,1,10,"8459012,228571","183818,867111",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.count,thrpt,1,10,270,NaN,counts,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.time,thrpt,1,10,5821,NaN,ms,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·stack,thrpt,1,1,NaN,NaN,---,1000,test,12,foreach_apache
