"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df","thrpt",1,10,"0,013163","0,000056","ops/s",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"573,581511","2,945240","MB/sec",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"47414389487,200000","44791708,040715","B/op",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"563,235065","2,421310","MB/sec",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"46559186124,800000","43755034,780392","B/op",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,552624","0,007141","MB/sec",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"128345804,800000","89910,930544","B/op",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"2,234436","0,019439","MB/sec",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"184706662,400000","1242097,257500","B/op",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.count","thrpt",1,10,"390,000000",NaN,"counts",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.time","thrpt",1,10,"13330,000000",NaN,"ms",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,train,12,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df","thrpt",1,10,"0,019655","0,000211","ops/s",1000,train,12,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"719,707012","7,216526","MB/sec",1000,train,12,foreach_apache
