"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,176692","0,001620","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"47,670407","0,398486","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"303847617,600000","7928,195963","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"650,747479","5,532462","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"4147816006,800000","6535575,967505","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"400,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"7314,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,311045","0,001320","ops/s",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"78,982643","0,318371","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"283579292,400000","10704,659967","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"1096,736234","13,219251","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"3937792678,800000","58431994,327790","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"700,000000",NaN,"counts",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"16701,000000",NaN,"ms",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,519114","0,004388","ops/s",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"126,967575","0,985862","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"274950562,666667","32688,007542","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"1544,461619","50,179134","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"3344699536,666667","116102702,945641","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"1150,000000",NaN,"counts",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"35097,000000",NaN,"ms",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,626577","0,004981","ops/s",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"150,967975","1,110745","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"271645755,085714","88186,662944","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"1336,568614","43,928706","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"2405146786,285715","90059560,869972","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"1575,000000",NaN,"counts",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"58265,000000",NaN,"ms",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,631889","0,006051","ops/s",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"151,614374","1,322208","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"270629638,628571","68831,266235","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"987,888190","94,774171","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"1763410180,457143","169871492,931290","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"1710,000000",NaN,"counts",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"73470,000000",NaN,"ms",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,8,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,595606","0,004933","ops/s",1000,test,12,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"142,267886","1,207011","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"271053462,152381","826522,572340","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"912,617483","55,545331","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"1738754157,885714","105398915,099277","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"1510,000000",NaN,"counts",1000,test,12,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"67871,000000",NaN,"ms",1000,test,12,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,12,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf","thrpt",1,10,"0,090205","0,000928","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"25,214710","0,236526","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"315227589,600000","13893,555119","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.churn.Shenandoah","thrpt",1,10,"283,837071","2,828750","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.churn.Shenandoah.norm","thrpt",1,10,"3548455662,400000","12163145,233130","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.count","thrpt",1,10,"200,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.time","thrpt",1,10,"1687,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf","thrpt",1,10,"0,173761","0,000755","ops/s",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"42,969485","0,178698","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"278119013,200000","19305,657754","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.churn.Shenandoah","thrpt",1,10,"664,364439","3,237777","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.churn.Shenandoah.norm","thrpt",1,10,"4300083675,600000","10849302,590271","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.count","thrpt",1,10,"320,000000",NaN,"counts",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.time","thrpt",1,10,"2763,000000",NaN,"ms",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf","thrpt",1,10,"0,326288","0,001608","ops/s",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"75,186989","0,359137","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"258107769,200000","42862,550272","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.churn.Shenandoah","thrpt",1,10,"1348,355029","7,800922","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.churn.Shenandoah.norm","thrpt",1,10,"4628735630,800000","12765390,426896","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.count","thrpt",1,10,"560,000000",NaN,"counts",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.time","thrpt",1,10,"5010,000000",NaN,"ms",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf","thrpt",1,10,"0,458475","0,002671","ops/s",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"102,545359","0,565466","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"252506007,360000","75031,043369","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_tfidf:·gc.churn.Shenandoah","thrpt",1,10,"1887,110185","15,158026","MB/sec",1000,test,6,foreach_apache
