"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df","thrpt",1,10,"0,168723","0,001154","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"40,069458","0,272448","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"266851102,000000","7377,247459","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"623,888368","3,165523","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"4154942220,400000","12827614,102983","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.count","thrpt",1,10,"400,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.time","thrpt",1,10,"7534,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df","thrpt",1,10,"0,308246","0,001379","ops/s",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"71,547448","0,315434","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"259399513,600000","31517,276400","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"1075,612710","45,398937","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"3899783010,000000","168751220,360270","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.count","thrpt",1,10,"695,000000",NaN,"counts",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.time","thrpt",1,10,"17346,000000",NaN,"ms",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,2,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df","thrpt",1,10,"0,500710","0,002781","ops/s",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"118,041227","0,926941","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"265868426,666667","1645928,437484","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"1459,943692","80,734196","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"3287704478,666667","152823003,581962","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.count","thrpt",1,10,"1090,000000",NaN,"counts",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.time","thrpt",1,10,"34581,000000",NaN,"ms",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df","thrpt",1,10,"0,593749","0,003928","ops/s",1000,test,6,foreach_apache
