"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df","thrpt",1,10,"0,109987","0,000471","ops/s",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"524,295378","2,181752","MB/sec",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"5228353112,000000","7504,170646","B/op",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"423,640168","2,201084","MB/sec",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"4224598264,800000","6922280,429407","B/op",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.count","thrpt",1,10,"390,000000",NaN,"counts",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.time","thrpt",1,10,"6429,000000",NaN,"ms",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df","thrpt",1,10,"0,183390","0,000684","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"724,928943","2,848723","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"4461692494,800000","7369,434326","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"672,627883","3,716169","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"4139796799,600000","15820611,555792","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.count","thrpt",1,10,"400,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.time","thrpt",1,10,"7439,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf","thrpt",1,10,"0,069823","0,000505","ops/s",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"361,833559","2,650089","MB/sec",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"5751155027,200000","16336,552170","B/op",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.churn.Shenandoah","thrpt",1,10,"334,320937","2,662619","MB/sec",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.churn.Shenandoah.norm","thrpt",1,10,"5313848958,400000","8879630,401731","B/op",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"240,000000",NaN,"counts",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"2070,000000",NaN,"ms",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf","thrpt",1,10,"0,093756","0,000927","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"400,830151","3,565588","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"4836487936,800000","13663,798373","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.churn.Shenandoah","thrpt",1,10,"295,960523","2,678268","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.churn.Shenandoah.norm","thrpt",1,10,"3571113340,800000","7178644,120141","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"200,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"1688,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
