"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df","thrpt",1,10,"0,174990","0,000929","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"45,292285","0,213757","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"291185495,600000","7385,721928","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"645,288831","3,607188","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"4148587546,400000","16617681,815912","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"400,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"7359,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf","thrpt",1,10,"0,089782","0,000791","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"24,086991","0,188564","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"302472539,200000","13866,795157","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.churn.Shenandoah","thrpt",1,10,"282,617169","1,929098","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.churn.Shenandoah.norm","thrpt",1,10,"3548978918,400000","5747088,956884","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,10,"200,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,10,"1659,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df","thrpt",1,10,"0,170078","0,001635","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"44,080802","0,397673","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"291185465,200000","7387,814302","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"628,337121","4,494703","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"4150654069,200000","14378507,917943","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"400,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"7400,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf","thrpt",1,10,"0,089241","0,001045","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"23,954446","0,263411","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"302472539,200000","13853,374585","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.churn.Shenandoah","thrpt",1,10,"281,336489","3,223020","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.churn.Shenandoah.norm","thrpt",1,10,"3552428256,000000","6904475,197388","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,10,"200,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,10,"1657,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df","thrpt",1,10,"0,181165","0,000960","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"714,962292","3,803176","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"4452092499,600000","7383,218177","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"665,008300","4,635270","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"4141031037,600000","20549693,275022","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.count","thrpt",1,10,"400,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.time","thrpt",1,10,"7476,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf","thrpt",1,10,"0,093455","0,001253","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"399,778179","5,114139","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"4836487357,600000","13870,090674","B/op",1000,test,1,foreach_apache
