Benchmark,Mode,Threads,Samples,Score,"Score Error (99,9%)",Unit,Param: buffer_size,Param: dataset,Param: n_threads,Param: stringManipulation
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df,thrpt,1,10,"0,477604","0,004806",ops/s,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.alloc.rate,thrpt,1,10,"1959,07932","18,25948",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.alloc.rate.norm,thrpt,1,10,"4651206791,52","20007,49168",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.Shenandoah,thrpt,1,10,"414,378979","77,594769",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.Shenandoah.norm,thrpt,1,10,"984241765,12","189776710,088465",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.count,thrpt,1,10,1325,NaN,counts,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.time,thrpt,1,10,94272,NaN,ms,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·stack,thrpt,1,1,NaN,NaN,---,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf,thrpt,1,10,"0,611929","0,004067",ops/s,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.alloc.rate,thrpt,1,10,"2635,553646","16,449207",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm,thrpt,1,10,"4853907497,82857","7746,084973",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.churn.Shenandoah,thrpt,1,10,"2336,013804","41,182368",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.churn.Shenandoah.norm,thrpt,1,10,"4302201780,68571","63911814,744639",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.count,thrpt,1,10,970,NaN,counts,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.time,thrpt,1,10,14864,NaN,ms,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·stack,thrpt,1,1,NaN,NaN,---,1000,test,12,foreach_apache
