"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,170016","0,000822","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"50,919498","0,238299","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"337180293,600000","25483,992281","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"711,096940","54,934450","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"4708735385,600000","362222757,440396","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"311,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"19213,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,318432","0,003399","ops/s",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"88,596545","0,894118","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"311754780,400000","37246,393953","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"1247,060816","53,231158","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"4388447846,400000","197872738,462904","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"725,000000",NaN,"counts",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.time","thrpt",1,10,"29218,000000",NaN,"ms",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,2,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df","thrpt",1,10,"0,500637","0,004029","ops/s",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"133,798365","1,293476","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"301132523,760000","1863549,122667","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"1217,988062","58,977360","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"2741494961,493333","142541162,189495","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.collections.ConcurrentCollectionsRunner.compute_df:·gc.count","thrpt",1,10,"1689,000000",NaN,"counts",1000,test,4,foreach_apache
