"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df","thrpt",1,10,"0,169949","0,001565","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"48,532292","0,432416","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"321376051,200000","26334,589051","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"718,055806","48,990484","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"4754243584,000000","297894378,901664","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.count","thrpt",1,10,"314,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.time","thrpt",1,10,"19444,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df","thrpt",1,10,"0,314490","0,003960","ops/s",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"84,196286","0,998254","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"299805952,800000","16379,081475","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"1255,604952","35,549673","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"4470865920,000000","105286266,129527","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.count","thrpt",1,10,"712,000000",NaN,"counts",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.time","thrpt",1,10,"29116,000000",NaN,"ms",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df","thrpt",1,10,"0,491241","0,004471","ops/s",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"127,846414","1,061031","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"295992507,200000","27536,988123","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"1180,480198","83,655407","MB/sec",1000,test,4,foreach_apache
