"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"microbenchmark.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,173931","0,002281","ops/s",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"861,457094","10,564452","MB/sec",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"5592962032,800000","35273,730139","B/op",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"705,470197","29,904067","MB/sec",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"4580599398,400000","207520198,572159","B/op",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"701,000000",NaN,"counts",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"23038,000000",NaN,"ms",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,302936","0,002890","ops/s",1000,test,2,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"1501,110319","24,946388","MB/sec",1000,test,2,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"5556292862,000000","3531740,861497","B/op",1000,test,2,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"834,564656","184,371287","MB/sec",1000,test,2,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"3086046549,333333","647573217,020960","B/op",1000,test,2,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"2151,000000",NaN,"counts",1000,test,2,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"64232,000000",NaN,"ms",1000,test,2,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,2,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,431738","0,006401","ops/s",1000,test,4,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"2115,646448","28,432736","MB/sec",1000,test,4,foreach_apache
