"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df","thrpt",1,10,"0,113581","0,001231","ops/s",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"664,537830","6,931868","MB/sec",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"6434955795,600000","39047,539334","B/op",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"608,602783","9,533177","MB/sec",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"5893206835,200000","38584976,612274","B/op",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.count","thrpt",1,10,"338,000000",NaN,"counts",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.time","thrpt",1,10,"19911,000000",NaN,"ms",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df","thrpt",1,10,"0,183765","0,000661","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"902,978477","3,063928","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"5555871743,200000","35853,968286","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"761,363459","42,735786","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"4684618137,600000","265829560,314754","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.count","thrpt",1,10,"309,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.time","thrpt",1,10,"17635,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf","thrpt",1,10,"0,067054","0,000624","ops/s",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"431,988420","3,953092","MB/sec",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"7144562034,400000","42852,422044","B/op",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,10,"403,550989","37,503697","MB/sec",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,10,"6673766809,600000","604279153,290171","B/op",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"205,000000",NaN,"counts",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"2499,000000",NaN,"ms",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_java
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf","thrpt",1,10,"0,089910","0,000749","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"479,048897","3,595707","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"6018194394,400000","64657,689221","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,10,"437,757567","54,979644","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,10,"5500200550,400000","702272264,552975","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"153,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"2197,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
