"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df","thrpt",1,10,"0,172732","0,000995","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"49,288765","0,281726","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"321369554,400000","24778,002933","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"712,687775","61,895609","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"4646659686,400000","398109362,701854","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"308,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"18987,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf","thrpt",1,10,"0,084392","0,001397","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"24,641362","0,384730","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"328234537,600000","85858,887157","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,10,"408,379976","63,657121","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,10,"5442109440,000000","877365895,805043","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,10,"157,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,10,"2600,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.atomic.AtomicConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df","thrpt",1,10,"0,171886","0,001289","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"49,067516","0,350021","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"321369521,200000","27814,067006","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"708,990605","58,952734","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"4643933388,800000","395654266,692715","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"308,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"19118,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf","thrpt",1,10,"0,085153","0,000894","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"24,835321","0,242004","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"328240758,400000","79768,903182","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,10,"404,560549","51,566456","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,10,"5346898739,200000","679118035,972224","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,10,"160,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,10,"2076,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.executor.ExecutorConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df","thrpt",1,10,"0,184128","0,001500","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"903,917929","6,863989","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"5555881509,200000","19679,688038","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"771,978654","38,968381","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"4744911257,600000","236179680,425390","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.count","thrpt",1,10,"317,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·gc.time","thrpt",1,10,"17976,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf","thrpt",1,10,"0,089103","0,000608","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"475,018175","3,041682","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"6018197051,200000","54159,943111","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,10,"431,087404","57,234130","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,10,"5462451814,400000","737210095,139981","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"154,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"1952,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.NaiveSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,173574","0,001202","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"49,507525","0,330818","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"321370716,800000","30155,915030","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"723,491608","60,141888","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"4695837900,800000","371019065,513104","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"310,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"18996,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf","thrpt",1,10,"0,084406","0,000797","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"24,630807","0,218452","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"328231388,800000","38247,381517","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,10,"394,346842","48,717086","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,10,"5253994905,600000","625381953,003152","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,10,"157,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,10,"1967,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.naive.ThreadConcurrentRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
