Benchmark,Mode,Threads,Samples,Score,"Score Error (99,9%)",Unit,Param: buffer_size,Param: dataset,Param: n_threads,Param: stringManipulation
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df,thrpt,1,10,"0,426283","0,007728",ops/s,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.alloc.rate,thrpt,1,10,"2232,297049","38,087236",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.alloc.rate.norm,thrpt,1,10,"5898576117,92","29939,2354",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.Compressed_Class_Space,thrpt,1,10,"4,2E-05",1E-06,MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.Compressed_Class_Space.norm,thrpt,1,10,"110,4",0,B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.Metaspace,thrpt,1,10,"0,000247","1,6E-05",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.Metaspace.norm,thrpt,1,10,652,"36,972391",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.ZHeap,thrpt,1,10,"1048,101381","183,958724",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.churn.ZHeap.norm,thrpt,1,10,"2769624760,32","483350235,093098",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.count,thrpt,1,10,1284,NaN,counts,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·gc.time,thrpt,1,10,101976,NaN,ms,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_df:·stack,thrpt,1,1,NaN,NaN,---,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf,thrpt,1,10,"0,533979","0,005195",ops/s,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.alloc.rate,thrpt,1,10,"2859,508763","25,811916",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm,thrpt,1,10,"6050233212,66667","41946,501117",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.churn.ZHeap,thrpt,1,10,"1527,978464","103,336917",MB/sec,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.churn.ZHeap.norm,thrpt,1,10,"3232340377,6","192777641,660943",B/op,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.count,thrpt,1,10,1562,NaN,counts,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·gc.time,thrpt,1,10,57639,NaN,ms,1000,test,12,foreach_apache
jv.microbenchmark.runner.stream.StreamConcurrentRunner.compute_tfidf:·stack,thrpt,1,1,NaN,NaN,---,1000,test,12,foreach_apache
