"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataset","Param: stringManipulation"
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,10,"0,218766","0,001142","ops/s",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"264,569910","1,476049","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"1337393397,333334","294,709883","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"250,684643","1,370743","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1267204096,000000","373658,153967","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,452042","0,008101","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"7340032,000000","0,000000","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"30,000000",NaN,"counts",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"1522,000000",NaN,"ms",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,10,"0,384997","0,005749","ops/s",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"401,891734","5,940468","MB/sec",devel_100_000_id,foreach_apache
