"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataset","Param: stringManipulation"
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,017300","0,000291","ops/s",train_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"39,963439","0,637077","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"2550816331,200000","19059,725075","B/op",train_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"728,059986","11,480908","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"46471210598,400000","22878134,006048","B/op",train_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,591406","0,009426","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"37748736,000000","0,000000","B/op",train_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"2,302297","0,028523","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"146957926,400000","1297083,656945","B/op",train_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"390,000000",NaN,"counts",train_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"40406,000000",NaN,"ms",train_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,025468","0,000662","ops/s",train_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"57,464780","1,368474","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"2550722340,000000","20010,645312","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"938,193388","23,846884","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"41643566694,400000","138492048,460093","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,850435","0,020251","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"37748736,000000","0,000000","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"3,350168","0,164738","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"148740505,600000","8313788,964950","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"350,000000",NaN,"counts",train_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"36952,000000",NaN,"ms",train_id,foreach_apache
